Motif	Domain	Interaction Domain Description	Interaction Domain Name
3DID_Insulin_LIG_4-1	PF00049	Insulin	Insulin
3DID_Insulin_LIG_5-0	PF00049	Insulin	Insulin
3DID_Insulin_LIG_9-0	PF00049	Insulin	Insulin
3DID_Insulin_LIG_9-8	PF00049	Insulin	Insulin
3DID_Ion_trans_LIG_1-0	PF00520	Ion_trans	Ion_trans
3DID_Ion_trans_LIG_8-0	PF00520	Ion_trans	Ion_trans
3DID_Isy1_LIG_0-0	PF06246	Isy1	Isy1
3DID_Isy1_LIG_0-1	PF06246	Isy1	Isy1
3DID_JHD_LIG_1-0	PF17811	JHD	JHD
3DID_Jak1_Phl_LIG_0-0	PF17887	Jak1_Phl	Jak1_Phl
3DID_JmjC_2_LIG_0-0	PF08007	JmjC_2	JmjC_2
3DID_JmjC_2_LIG_0-1	PF08007	JmjC_2	JmjC_2
3DID_JmjC_2_LIG_0-3	PF08007	JmjC_2	JmjC_2
3DID_JmjC_2_LIG_0-4	PF08007	JmjC_2	JmjC_2
3DID_JmjC_LIG_0-0	PF02373	JmjC	JmjC
3DID_JmjC_LIG_0-1	PF02373	JmjC	JmjC
3DID_JmjC_LIG_0-9	PF02373	JmjC	JmjC
3DID_KOW_LIG_2-0	PF00467	KOW	KOW
3DID_Kelch_1_LIG_0-0	PF01344	Kelch_1	Kelch_1
3DID_Kelch_1_LIG_0-11	PF01344	Kelch_1	Kelch_1
3DID_Kelch_1_LIG_0-16	PF01344	Kelch_1	Kelch_1
3DID_Kelch_1_LIG_0-4	PF01344	Kelch_1	Kelch_1
3DID_Ku_N_LIG_3-0	PF03731	Ku_N	Ku_N
3DID_Ku_N_LIG_3-16	PF03731	Ku_N	Ku_N
