Gene,expression
C4BPB,0.402491889
CD55,1.345100088
CD46,1.353119133
CD34,0.095594983
PLXNA2,1.072954365
LAMB3,0.469945641
G0S2,0.055114638
C1orf74,0.011442485
IRF6,0.63868298
DIEXF,0.065303205
HHAT,0.059326056
RCOR3,0.084143568
TRAF5,0.071271698
SLC30A1,0.134836025
NEK2,0.011131494
LPGAT1,0.375814184
INTS7,0.192373785
PPP2R5A,0.778898122
NENF,0.492680236
ATF3,1.182253112
NSL1,0.107816922
TATDN3,0.029623661
FLVCR1-AS1,0.030675874
FLVCR1,0.051225309
ANGEL2,0.085544809
RPS6KC1,0.037721045
PROX1,1.151832305
SMYD2,0.005987909
KCTD3,0.25873402
GPATCH2,0.228079686
SPATA17,0.02865489
RRP15,0.042849976
LYPLAL1,0.065618657
SLC30A10,0.154780525
EPRS,0.587710497
BPNT1,0.404513149
IARS2,0.748892497
RAB3GAP2,0.117231606
C1orf115,0.590650536
Mar-02,0.0768837
Mar-01,0.12681047
MIA3,0.56668139
AIDA,0.433972909
BROX,0.840352444
RP11-452F19.3,0.081029297
CAPN8,0.091616048
CAPN2,2.627866492
TP53BP2,0.099721911
RP11-504P24.8,0.088929994
FBXO28,0.343722681
DEGS1,0.073953085
NVL,0.278189674
CNIH4,1.239015722
WDR26,0.267296031
CNIH3,0.008469523
LBR,0.446692606
ENAH,0.029921486
SRP9,1.266447966
EPHX1,0.182208625
RP11-285F7.2,0.009340487
TMEM63A,0.249338002
LEFTY1,1.602399318
PYCR2,0.379385286
H3F3A,18.97656779
ACBD3,0.549606953
PARP1,0.15481552
PSEN2,0.018683945
ADCK3,0.200416036
CDC42BPA,0.668529309
SNAP47,0.067357385
JMJD4,0.084783398
ARF1,3.13445838
C1orf35,0.284822208
MRPL55,0.727976717
GUK1,3.925484114
IBA57,0.052990033
TRIM11,0.524165676
HIST3H2A,0.008282534
RNF187,0.445751003
RHOU,0.480530631
RAB4A,0.8387943
NUP133,0.104426445
ABCB10,0.088511917
TAF5L,0.019045588
GALNT2,0.431463943
COG2,0.093633706
CAPN9,0.085506416
ARV1,0.392979793
FAM89A,0.044687545
C1orf131,0.520441978
GNPAT,0.348163914
SPRTN,0.278758717
EGLN1,0.795877125
RP11-295G20.2,0.318237
TSNAX,0.494962702
SIPA1L2,0.338106422
NTPCR,0.307986273
PCNXL2,0.006530553
MLK4,0.071546528
KCNK1,0.410854673
COA6,0.678942395
IRF2BP2,0.562582499
RP11-443B7.1,0.04450249
TOMM20,1.253259098
RBM34,0.077861872
ARID4B,0.317933507
GGPS1,0.198013342
B3GALNT2,0.03830361
LYST,0.102981
GPR137B,0.044267541
LGALS8,0.78302085
HEATR1,0.135895175
MTR,0.020019218
CHRM3,0.472624321
FH,0.446223004
KMO,0.020856275
OPN3,0.419382573
CHML,0.118731003
CEP170,0.042235437
SDCCAG8,0.223503774
ZBTB18,0.018904081
ADSS,0.417150756
DESI2,0.52023688
COX20,0.734017522
HNRNPU-AS1,0.205841936
HNRNPU,0.966023795
EFCAB2,0.131109713
SMYD3,0.169805379
CNST,0.421225795
SCCPDH,0.323312221
AHCTF1,0.269865688
ZNF670,0.008469523
ZNF124,0.087054986
LYPD8,15.28449395
SH3BP5L,0.148870494
ZNF672,0.185407492
ZNF692,0.095016055
FAM110C,0.341930711
SH3YL1,1.199516671
ACP1,0.996326432
TMEM18,0.493944739
TSSC1,0.26329675
TRAPPC12,0.070801972
ADI1,1.708879477
AC108488.4,0.009340487
RNASEH1,0.117061801
RPS7,12.91939612
CMPK2,0.036038687
RSAD2,0.299681784
RNF144A,0.141351144
ID2,1.498248346
KIDINS220,0.297177365
MBOAT2,0.122059618
ASAP2,0.608819294
ITGB1BP1,0.090597947
CPSF3,0.061102548
IAH1,0.258480333
ADAM17,0.085902656
YWHAQ,1.179744478
TAF1B,0.056833682
RRM2,0.028159678
HPCAL1,0.151636939
ODC1,0.682372764
NOL10,0.06291793
RP11-791G15.2,0.032526672
PDIA6,1.066976811
PQLC3,0.019045588
ROCK2,1.547279061
E2F6,0.043783231
LPIN1,0.048175009
TRIB2,0.005565747
