Gene,avg_log2FC
NPTX2,5.28840173823563
TRIM4,5.4233257851055
EPHB4,5.20233920930009
RP11-325F22.5,5.28840173823563
GPR37,4.9544869657266
CEP41,5.28840173823563
PRSS1,6.05592984383174
AC093673.5,5.28840173823563
ASMTL-AS1,5.20233920930009
MBTPS2,4.9959066552575
EFHC2,5.28840173823563
SUV39H1,8.9387119799991
CLCN5,4.9959066552575
RIBC1,4.9959066552575
PHF8,4.9544869657266
GNL3L,4.9544869657266
FAAH2,4.9959066552575
KIF4A,5.4233257851055
CYSLTR1,5.20233920930009
ITM2A,4.9544869657266
RPA4,5.20233920930009
MORC4,5.28840173823563
VSIG1,4.9544869657266
ACSL4,4.9544869657266
PLS3,5.48280540096519
XPNPEP2,5.82693370030659
ENOX2,5.28840173823563
MTMR1,4.9959066552575
