Gene;p_val;avg_log2FC;pct.1;pct.2;p_val_adj
PM20D2;6.4171839580751e-10;6.12048652711167;0.2;0;1.50200607722706e-05
PRKAR2B;6.4171839580751e-10;5.63306298199514;0.2;0;1.50200607722706e-05
BRAF;6.4171839580751e-10;5.60656784827654;0.2;0;1.50200607722706e-05
XPO7;6.4171839580751e-10;6.01569024737603;0.2;0;1.50200607722706e-05
PLEKHA2;6.4171839580751e-10;5.6720693111301;0.2;0;1.50200607722706e-05
ANXA1;6.4171839580751e-10;7.2229947137514;0.2;0;1.50200607722706e-05
TGFBR1;6.4171839580751e-10;6.43481198193974;0.2;0;1.50200607722706e-05
PBX3;6.4171839580751e-10;6.8435396794161;0.2;0;1.50200607722706e-05
CCNY;6.4171839580751e-10;6.6711534693895;0.2;0;1.50200607722706e-05
VCL;6.4171839580751e-10;5.60656784827654;0.2;0;1.50200607722706e-05
IDE;6.4171839580751e-10;6.12048652711167;0.2;0;1.50200607722706e-05
PDCD11;6.4171839580751e-10;6.16735139486359;0.2;0;1.50200607722706e-05
CYB5R2;6.4171839580751e-10;5.45337210048067;0.2;0;1.50200607722706e-05
SAA2;6.4171839580751e-10;5.60656784827654;0.2;0;1.50200607722706e-05
HIPK3;6.4171839580751e-10;9.04540499891106;0.2;0;1.50200607722706e-05
RP11-727F15.9;6.4171839580751e-10;5.45337210048067;0.2;0;1.50200607722706e-05
RP11-783K16.5;6.4171839580751e-10;6.29344579967651;0.2;0;1.50200607722706e-05
KCNE3;6.4171839580751e-10;6.93093210431292;0.2;0;1.50200607722706e-05
TULP3;6.4171839580751e-10;6.1016374899747;0.2;0;1.50200607722706e-05
TMTC3;6.4171839580751e-10;6.39656787531887;0.2;0;1.50200607722706e-05
UNC119B;6.4171839580751e-10;5.82779783787124;0.2;0;1.50200607722706e-05
HNRNPA1L2;6.4171839580751e-10;6.29344579967651;0.2;0;1.50200607722706e-05
RBM26;6.4171839580751e-10;9.01953698645474;0.2;0;1.50200607722706e-05
VCPKMT;6.4171839580751e-10;5.63306298199514;0.2;0;1.50200607722706e-05
PYGL;6.4171839580751e-10;5.69739867030623;0.2;0;1.50200607722706e-05
NIPA1;6.4171839580751e-10;6.30996165280021;0.2;0;1.50200607722706e-05
EDC3;6.4171839580751e-10;5.82336512240883;0.2;0;1.50200607722706e-05
RP11-752G15.6;6.4171839580751e-10;5.60656784827654;0.2;0;1.50200607722706e-05
TTC23;6.4171839580751e-10;5.60656784827654;0.2;0;1.50200607722706e-05
FBXL19-AS1;6.4171839580751e-10;5.82779783787124;0.2;0;1.50200607722706e-05
C16orf58;6.4171839580751e-10;6.21884220386811;0.2;0;1.50200607722706e-05
PEMT;6.4171839580751e-10;5.63306298199514;0.2;0;1.50200607722706e-05
ETV4;6.4171839580751e-10;6.30996165280021;0.2;0;1.50200607722706e-05
ARL17A;6.4171839580751e-10;6.26202575187953;0.2;0;1.50200607722706e-05
PNPO;6.4171839580751e-10;6.12048652711167;0.2;0;1.50200607722706e-05
PRKCA;6.4171839580751e-10;5.82779783787124;0.2;0;1.50200607722706e-05
BIRC5;6.4171839580751e-10;6.7039022075522;0.2;0;1.50200607722706e-05
SERPINB8;6.4171839580751e-10;6.07350595816965;0.2;0;1.50200607722706e-05
DSN1;6.4171839580751e-10;6.1016374899747;0.2;0;1.50200607722706e-05
ZNF738;6.4171839580751e-10;6.26202575187953;0.2;0;1.50200607722706e-05
PLEKHF1;6.4171839580751e-10;5.45337210048067;0.2;0;1.50200607722706e-05
DMKN;6.4171839580751e-10;5.45337210048067;0.2;0;1.50200607722706e-05
CD79A;6.4171839580751e-10;5.60656784827654;0.2;0;1.50200607722706e-05
CABIN1;6.4171839580751e-10;6.63875365070644;0.2;0;1.50200607722706e-05
MORC2-AS1;6.4171839580751e-10;7.1261929256807;0.2;0;1.50200607722706e-05
RUNX1;6.4171839580751e-10;5.60656784827654;0.2;0;1.50200607722706e-05
AP006748.1;6.4171839580751e-10;6.21884220386811;0.2;0;1.50200607722706e-05
RP11-689K5.3;6.4171839580751e-10;5.63306298199514;0.2;0;1.50200607722706e-05
HIBCH;6.60613295691382e-10;1.7295730467229;0.6;0.047;1.54623147989525e-05
PLA2G2A;6.78004428281003e-10;4.29463236723751;0.9;0.168;1.58693716483452e-05
OLFM4;1.22969871446818e-09;2.99888237665243;0.7;0.079;2.87823281108421e-05
DGKZ;1.9508952809397e-09;4.78677143484175;0.4;0.021;4.56626549456746e-05
BACE2;2.19781351331385e-09;3.62547323408742;0.5;0.037;5.1442023092624e-05
DTD1;2.92095789787623e-09;3.36793046083227;0.4;0.021;6.83679405576909e-05
SPINK5;3.32758202195517e-09;2.47371677407726;0.5;0.037;7.78853848058828e-05
METAP2;3.38634828812961e-09;2.21722770466901;0.7;0.079;7.92608680319617e-05
DTYMK;3.94264433284488e-09;3.25306663435093;0.4;0.021;9.22815332545672e-05
HGD;3.94264433284488e-09;3.93621869962165;0.4;0.021;9.22815332545672e-05
PDZK1IP1;4.04266470494293e-09;3.20690593114451;0.7;0.084;9.46226100838941e-05
LYAR;4.35490505203824e-09;3.7384404729102;0.4;0.021;0.000101930907648007
MUC4;4.809002079945e-09;2.59053468363645;0.4;0.021;0.000112559502683193
MAP7;4.809002079945e-09;2.90327671676525;0.4;0.021;0.000112559502683193
SLC35A2;4.809002079945e-09;3.04669967102853;0.4;0.021;0.000112559502683193
IFITM1;4.809002079945e-09;2.12581277806829;0.4;0.021;0.000112559502683193
FAT1;5.30904538336748e-09;2.35464223971082;0.4;0.021;0.000124263516243099
BPTF;5.30904538336748e-09;2.20096957696452;0.4;0.021;0.000124263516243099
BOLA3;5.92808194753093e-09;2.47584535108972;0.6;0.058;0.000138752686063909
TUBA4A;6.70142135367371e-09;3.68531838976681;0.7;0.089;0.000156853468204087
DYNC1LI2;9.64346017048265e-09;3.63967970843723;0.6;0.063;0.000225714828750317
CXCL3;1.02829362650672e-08;5.31741866807526;0.3;0.01;0.000240682406220164
GCN1L1;1.02829362650672e-08;6.8170751745308;0.3;0.01;0.000240682406220164
USP22;1.02829362650672e-08;5.28698648469002;0.3;0.01;0.000240682406220164
IFITM3;1.12682438169427e-08;3.00245933969895;0.8;0.131;0.00026374451477936
